,date,stock,Open,Close,Volume,Positive,Negative,Neutral,Price_change
0,2020-03-09,AAPL,65.9375,66.5425033569336,286744800,0.04612663884957632,0.41146452724933624,0.5424088127911091,-1
1,2020-03-10,AAPL,69.28500366210938,71.33499908447266,285290000,0.07084500836208463,0.4490252698305994,0.48012971447315067,1
2,2020-03-11,AAPL,69.34750366210938,68.85749816894531,255598800,0.19099484064749309,0.4537614867357271,0.35524368399221984,-1
3,2020-03-12,AAPL,63.98500061035156,62.057498931884766,418474000,0.20422084722667933,0.44751830864697695,0.34826082587242124,-1
4,2020-03-13,AAPL,66.22250366210938,69.49250030517578,370732000,0.3158633283932101,0.21812686722048305,0.4660098015923392,1
5,2020-03-16,AAPL,60.48749923706055,60.5525016784668,322423600,0.07255583332682197,0.5235326182605191,0.4039115457033569,-1
6,2020-03-17,AAPL,61.877498626708984,63.21500015258789,324056000,0.2726349746032308,0.40650855322989327,0.32085645912835997,1
7,2020-03-18,AAPL,59.942501068115234,61.66749954223633,300233600,0.2746636376250535,0.3247674601152539,0.40056886058300734,-1
8,2020-03-19,AAPL,61.84749984741211,61.19499969482422,271857200,0.2593524158000946,0.11050715856254101,0.6301404535770416,-1
9,2020-03-20,AAPL,61.79499816894531,57.310001373291016,401693200,0.4843212612904608,0.3805647371336818,0.13511401042342186,-1
10,2020-03-23,AAPL,57.02000045776367,56.092498779296875,336752800,0.2727691071340814,0.39183630561456084,0.335394594585523,-1
11,2020-03-24,AAPL,59.09000015258789,61.720001220703125,287531200,0.3377552957806204,0.21886959499014275,0.4433751271239349,1
12,2020-03-25,AAPL,62.6875,61.380001068115234,303602000,0.43848681009628554,0.24186926495961167,0.3196439289233901,-1
13,2020-03-26,AAPL,61.630001068115234,64.61000061035156,252087200,0.1722203604876995,0.017452797386795282,0.810326874256134,1
14,2020-03-27,AAPL,63.1875,61.935001373291016,204216800,0.42472179016719264,0.3353877140131469,0.23989050012702742,-1
15,2020-03-30,AAPL,62.685001373291016,63.70249938964844,167976400,0.2969296802766621,0.5848814393393695,0.11818889435380697,1
16,2020-03-31,AAPL,63.900001525878906,63.5724983215332,197002000,0.20926040261983872,0.05064183110371232,0.7400977790355683,-1
17,2020-04-01,AAPL,61.625,60.227500915527344,176218400,0.0704193687332528,0.557467572124941,0.37211305807743755,-1
18,2020-04-02,AAPL,60.084999084472656,61.23249816894531,165934000,0.3496209383010864,0.19777315327276787,0.4526059627532959,1
19,2020-04-03,AAPL,60.70000076293945,60.352500915527344,129880000,0.09141695275902748,0.5394238445907831,0.36915920674800873,-1
20,2020-04-06,AAPL,62.724998474121094,65.61750030517578,201820400,0.40191547982394693,0.030238652601838112,0.5678458720445633,1
21,2020-04-07,AAPL,67.69999694824219,64.85749816894531,202887200,0.5078320316970348,0.02777254953980446,0.4643954262137413,-1
22,2020-04-08,AAPL,65.68499755859375,66.51750183105469,168895200,0.3297210354357958,0.1872004999779165,0.4830784616991878,1
23,2020-04-09,AAPL,67.17500305175781,66.99749755859375,161834800,0.3890484467148781,0.15360505040735006,0.4573465347290039,1
24,2020-04-13,AAPL,67.07749938964844,68.3125,131022800,0.2916034817074736,0.4656270379200578,0.2427695165388286,1
25,2020-04-14,AAPL,70.0,71.76249694824219,194994800,0.4907895877957344,0.1962547365576029,0.3129556976258755,1
26,2020-04-15,AAPL,70.5999984741211,71.10749816894531,131154400,0.42480123539765674,0.023826960008591413,0.5513717954357465,-1
27,2020-04-16,AAPL,71.84500122070312,71.67250061035156,157125200,0.4870986940804869,0.14609323791228235,0.3668080575298518,1
28,2020-04-17,AAPL,71.17250061035156,70.69999694824219,215250000,0.3647812521085143,0.37404744178056715,0.2611713187769055,-1
29,2020-04-20,AAPL,69.48750305175781,69.23249816894531,130015200,0.1453227587044239,0.11738285670677821,0.7372943858305613,-1
30,2020-04-21,AAPL,69.06999969482422,67.09249877929688,180991600,0.25198419112712145,0.18505674957608184,0.562959055416286,-1
31,2020-04-22,AAPL,68.40249633789062,69.0250015258789,116862400,0.681881207274273,0.2584408784750849,0.05967791844159365,1
32,2020-04-23,AAPL,68.96749877929688,68.75749969482422,124814400,0.06996486615389585,0.41656709446882206,0.5134680320819219,-1
33,2020-04-24,AAPL,69.30000305175781,70.74250030517578,126161200,0.21711820177733898,0.34254274362077314,0.4403390747805436,1
34,2020-04-27,AAPL,70.44999694824219,70.7925033569336,117087600,0.21804968264768831,0.32399995322339237,0.4579503546701744,1
35,2020-04-28,AAPL,71.2699966430664,69.6449966430664,112004800,0.11597074568271637,0.23656871262937784,0.647460550069809,-1
36,2020-04-29,AAPL,71.18250274658203,71.93250274658203,137280800,0.6551758795976639,0.04183368058875203,0.30299040442332625,1
37,2020-04-30,AAPL,72.48999786376953,73.44999694824219,183064000,0.34627064583556993,0.24352796603260296,0.41020139503691877,1
38,2020-05-01,AAPL,71.5625,72.26750183105469,240616800,0.5157645294314315,0.23186235418864365,0.2523731002262954,-1
39,2020-05-04,AAPL,72.2925033569336,73.29000091552734,133568000,0.2898502802210195,0.13558057017092193,0.5745691210031509,1
40,2020-05-05,AAPL,73.76499938964844,74.38999938964844,147751200,0.15792233869433403,0.06806965125724673,0.7740079996486505,1
